,latitude,longitude,availability_365,id,reviews,last_review
0,-22.96592,-43.17896,343,17878,11,2020-02-23
1,-22.97712,-43.19045,42,25026,0,2020-02-03
2,-22.98816,-43.19359,134,35636,3,2020-02-15
3,-22.98127,-43.19046,113,35764,25,2020-02-19
4,-22.98599,-43.20299,297,48305,4,2020-02-04
5,-22.96574,-43.17514,110,48901,1,2018-10-04
6,-22.9791,-43.19008,132,49179,13,2020-02-17
7,-22.98584,-43.20305,311,50294,1,2020-02-12
8,-23.00307,-43.30911,364,50759,0,2017-01-08
9,-22.98128,-43.19091,315,51703,-13,2020-02-01
10,-22.98599,-43.20299,316,65546,5,2020-01-10
11,-22.92873,-43.17473,238,66574,0,2016-08-24
12,-22.98463,-43.19563,251,66797,14,2020-02-23
13,-22.98498,-43.19135,87,68422,0,2017-11-22
14,-22.9854,-43.19602,223,70080,20,2020-02-22
15,-22.98027,-43.19255,179,73581,1,2020-01-23
16,-22.98238,-43.19366,239,75585,1,2020-02-05
17,-22.98192,-43.19397,332,76245,2,2020-01-02
18,-22.92875,-43.19341,337,76300,3,2020-02-05
19,-22.91431,-43.19081,173,76961,4,2020-02-03
20,-22.97629,-43.23145,62,77318,1,2020-01-30
21,-22.92519,-43.19118,365,80145,0,2019-10-06
22,-22.98525,-43.19247,361,85807,3,2020-01-05
23,-22.98361,-43.21827,232,86670,-6,2020-02-03
24,-22.88756,-43.59413,363,87202,4,2020-01-04
25,-22.98386,-43.21383,321,87762,0,2020-02-14
26,-22.97456,-43.18807,213,88781,5,2020-01-22
27,-22.98668,-43.22171,362,89454,-10,2020-02-16
28,-22.97607,-43.18926,248,89862,5,2020-02-10
29,-22.9827,-43.2004,362,89981,1,2020-01-26
30,-22.97839,-43.19108,178,90907,0,2019-12-29
31,-22.95701,-43.20293,363,92107,1,2019-10-08
32,-22.97049,-43.18923,325,94895,1,2019-01-03
33,-23.01159,-43.36925,268,96431,10,2020-02-20
34,-22.94169,-43.18703,352,97636,0,2019-10-07
35,-22.91408,-43.18233,89,99547,1,2020-02-11
36,-22.99,-43.22697,266,99971,1,2020-01-12
37,-23.0089,-43.43049,352,106372,1,2019-10-06
38,-22.91831,-43.1785,309,107469,0,2018-12-21
39,-22.98322,-43.19087,328,108072,9,2020-01-30
40,-22.92135,-43.18088,115,108882,2,2020-01-04
41,-22.98697,-43.19751,271,109747,11,2020-02-16
42,-22.98789,-43.31698,269,118355,0,2019-03-06
43,-22.90284,-43.22247,365,125115,0,2013-02-12
44,-22.97,-43.18823,317,125656,1,2020-02-19
45,-22.97541,-43.18877,321,130234,0,2019-02-16
46,-22.93693,-43.19098,359,132114,0,2018-06-05
47,-22.91549,-43.22626,364,132909,-21,2019-10-22
48,-22.91986,-43.17859,361,133221,2,2020-01-06
49,-22.91949,-43.22558,144,133575,0,2019-10-02
50,-22.98251,-43.22108,147,137002,6,2019-11-26
51,-22.98002,-43.22371,313,137048,4,2020-01-05
52,-22.98606,-43.19513,302,137343,2,2020-01-05
53,-22.95454,-43.17442,361,141434,6,2020-01-01
54,-22.96148,-43.20038,364,146402,1,2020-01-14
55,-22.97854,-43.1904,277,166177,6,2020-02-03
56,-22.98249,-43.19222,363,166861,2,2017-08-16
57,-22.96656,-43.18575,324,166972,0,2019-11-06
58,-22.9869,-43.19286,316,167031,-14,2020-01-22
59,-22.97064,-43.18496,304,167932,6,2020-02-10
60,-22.97135,-43.18779,277,170397,4,2020-02-05
61,-22.99442,-43.23544,363,171505,0,2016-08-21
62,-22.98114,-43.19429,305,172902,11,2020-02-12
63,-22.9626,-43.17704,103,173709,-9,2020-02-14
64,-22.98015,-43.19098,149,174101,5,2020-02-21
65,-22.98499,-43.19098,350,176185,1,2019-12-23
66,-22.98026,-43.19109,323,178833,8,2019-11-28
67,-22.97858,-43.19075,331,178951,6,2020-01-04
68,-22.92062,-43.18156,355,186989,0,2016-02-11
69,-22.94879,-43.18147,344,190204,2,2020-02-08
70,-22.98236,-43.19864,168,190906,12,2020-02-10
71,-22.95783,-43.19984,358,191955,0,2016-01-18
72,-22.98597,-43.19591,91,193317,2,2020-02-10
73,-22.98427,-43.19689,364,194319,0,2013-11-27
74,-22.98297,-43.19388,159,196312,0,2020-01-05
75,-22.85898,-43.36762,363,198646,0,2017-11-26
76,-22.96225,-43.22077,365,198665,0,2016-08-16
77,-22.93431,-43.18877,365,201308,0,2016-02-12
78,-22.96536,-43.17979,287,202778,4,2020-01-31
79,-22.9825,-43.20504,22,203674,0,2019-05-07
80,-22.98596,-43.19001,360,210173,0,2019-10-03
81,-22.98596,-43.19001,365,215793,-4,2020-02-24
82,-22.98596,-43.19001,176,215878,1,2020-02-23
83,-22.98596,-43.19001,364,215887,1,2020-01-02
84,-22.94344,-43.19245,364,216700,0,2020-01-02
