,latitude,longitude,availability_365,id,reviews,last_review
69,-22.97534570275504,-43.19123675839346,363,155285,0,2017-10-29
70,-22.91976500418145,-43.21884310015255,365,164018,0,2016-07-17
71,-22.97936532816185,-43.19157463675577,343,166177,5,2018-03-28
72,-22.982493444709505,-43.19221811268892,167,166861,0,2017-08-16
73,-22.986461392722862,-43.19355122163183,337,167031,9,2018-04-03
74,-22.97702085851378,-43.1886665064888,344,167932,3,2018-04-03
75,-22.971647796801715,-43.18843013894249,341,170397,6,2018-02-24
76,-22.994423264599543,-43.23543954519025,365,171505,0,2016-08-21
77,-22.98018940239491,-43.19339204911591,343,172902,4,2018-03-17
78,-22.96260056567852,-43.17704313584854,120,173709,5,2018-04-05
79,-22.97964486575173,-43.19210232619778,153,174101,18,2018-03-06
80,-22.921676100199534,-43.180668280857695,102,174911,5,2018-03-27
81,-22.98499246626816,-43.190982508016575,359,176185,5,2018-03-08
82,-22.97984794399469,-43.19189190487076,325,178833,8,2018-02-20
83,-22.97816474237171,-43.191000431729975,364,178951,5,2018-02-24
84,-22.984736802903484,-43.19081052139676,180,181138,5,2018-02-23
85,-22.967251622070783,-43.18169203502355,364,182139,5,2018-03-19
86,-22.9206190232728,-43.18155547155797,365,186989,0,2016-02-11
87,-22.967994723653412,-43.184942039939685,223,188155,4,2018-01-03
88,-22.948790216642426,-43.18146620052078,315,190204,5,2018-03-02
89,-22.983664362318876,-43.19738507913597,223,190906,10,2018-03-21
90,-22.953477331987948,-43.187514058803046,362,191462,32,2018-02-15
91,-22.957832931119416,-43.199842440134354,365,191955,0,2016-01-18
92,-23.01283031040271,-43.31187495721966,0,192548,0,2016-08-20
93,-22.985971449435763,-43.19590955564227,240,193317,25,2018-04-03
94,-22.984268916642534,-43.196892286123415,364,194319,0,2013-11-27
95,-22.982973037075407,-43.19387723874913,137,196312,0,2018-04-03
96,-22.858977262512127,-43.36761867146095,363,198646,0,2017-11-26
97,-22.962249575405185,-43.22077434169172,365,198665,0,2016-08-16
98,-22.915556662966683,-43.19393799276147,351,199229,0,2017-10-15
99,-22.988021959068423,-43.19466331624062,94,200568,12,2018-03-21
100,-22.934306744701157,-43.18876852417922,365,201308,0,2016-02-12
101,-22.96536480072316,-43.17978943850517,342,202778,9,2018-04-09
102,-22.9287697773533,-43.1765159584629,363,203139,1,2018-02-22
103,-22.98250440315821,-43.20504248953429,324,203674,13,2018-02-26
104,-22.985063379738108,-43.19080239449892,365,210173,0,2012-02-20
105,-22.985395876957817,-43.19105409243839,365,215793,1,2017-09-26
106,-22.986449836638936,-43.18893743508961,365,215878,4,2018-02-16
107,-22.986801400008023,-43.19098086935042,365,215887,1,2018-02-15
108,-22.982268367253045,-43.490682831136525,365,216436,0,2011-11-06
109,-22.983346658739027,-43.1961752425146,358,217881,0,2017-01-03
110,-22.916465076543048,-43.1787430126655,297,219250,53,2018-04-08
111,-22.92806691643335,-43.24069136442068,365,220377,0,2017-04-06
112,-23.00545912456265,-43.4403467479645,177,221267,3,2018-04-04
113,-22.979614194800607,-43.191656465406496,363,221379,1,2018-03-27
114,-22.983972416619157,-43.203526747032086,347,223073,36,2018-04-09
115,-22.980739102156097,-43.22571688846474,363,223118,0,2018-02-14
116,-22.937286676508734,-43.17459193170093,165,223200,11,2018-03-10
117,-22.98817429580201,-43.22759305010496,0,228559,0,2016-08-21
118,-22.97822463856909,-43.190340840630085,355,230989,6,2018-04-09
119,-22.969815740730848,-43.38807247902423,177,231105,4,2018-01-07
120,-22.981015855438308,-43.19211840484042,325,231497,1,2018-03-05
121,-22.977326953363782,-43.18986674031641,365,231516,0,2016-08-21
122,-22.93874629858605,-43.177015502313694,162,233364,14,2018-03-16
123,-22.874983481455267,-43.56367118903674,358,234387,1,2017-11-15
124,-22.96320790193038,-43.1754369366928,357,236991,1,2018-02-14
125,-22.96486322971458,-43.17594849293153,343,239531,5,2018-03-31
126,-22.97540994367262,-43.188982446021626,101,239690,0,2018-01-01
127,-22.920559162603816,-43.17802649313593,364,245341,0,2016-02-20
128,-22.982713275364905,-43.19330483587403,180,245425,0,2018-01-01
129,-22.968173791024448,-43.17986586631821,359,245951,1,2017-09-25
130,-22.98665719924382,-43.19321355781961,164,247779,7,2018-02-17
131,-22.980909974329435,-43.19151749427446,44,248756,16,2018-02-16
132,-22.97560535202216,-43.187914255177375,182,249323,1,2018-03-23
133,-23.01129385143897,-43.323050996697546,288,249616,36,2018-04-07
134,-22.969109715433053,-43.188357208664165,238,249842,15,2018-04-12
135,-22.99176206008133,-43.23313205691608,365,251701,0,2018-02-14
136,-22.97725092787852,-43.19038569542469,15,251868,1,2018-04-01
137,-22.96036269865839,-43.21310363963227,363,253019,0,2016-08-23
138,-22.91837757684065,-43.18234781290081,234,256323,24,2018-03-10
139,-22.961561941015557,-43.16841132942146,126,257618,1,2018-02-14
140,-22.988307995009297,-43.35749394356657,365,260323,0,2012-02-23
141,-22.923218320535955,-43.17433710951375,317,262199,0,2015-05-19
142,-22.95348765778937,-43.18112825512596,365,262466,0,2016-01-05
143,-23.002055708408857,-43.38971497316819,256,264816,3,2018-03-31
144,-22.98105125714257,-43.19265246748504,358,265752,3,2018-02-18
145,-22.969988242076557,-43.18924956359795,263,266151,0,2013-02-14
146,-22.964126682666592,-43.17435722902548,270,272335,31,2018-04-12
147,-22.96716624244319,-43.18776349129341,321,272631,5,2018-02-14
148,-22.976349498419648,-43.1980857479488,243,273463,58,2018-04-11
149,-22.98338449702436,-43.223323826117024,317,273496,4,2018-02-19
150,-22.98420668608182,-43.19833003841678,178,274328,1,2018-01-28
151,-22.91405880798496,-43.18951387271496,365,274552,0,2017-01-12
152,-22.98229706104734,-43.20026240448823,364,276986,0,2016-08-15
153,-22.99629619146048,-43.26018293505359,364,277124,0,2016-08-14
154,-22.98414458082781,-43.203370253625664,365,277612,1,2018-02-13
155,-22.988314656046285,-43.19115183208573,365,277923,2,2016-08-22
156,-22.9814200077112,-43.19220499851102,299,278679,0,2015-08-26
157,-22.981872289372347,-43.209925075196765,365,278745,0,2013-06-25
158,-22.941752610258057,-43.188003053555136,365,280625,2,2017-07-12
159,-22.91574352658197,-43.18425320626961,365,280765,0,2013-09-15
160,-22.980967114868285,-43.1919358744463,362,281304,0,2017-01-31
161,-22.936629437353407,-43.17659614019249,286,282071,1,2018-02-13
162,-22.984006327251365,-43.19378089346319,364,284762,0,2016-02-11
163,-22.96206973042889,-43.174693591515656,90,284910,0,2017-10-15
164,-22.962146244510706,-43.174398824213554,365,285363,4,2018-01-28
165,-22.99660148759885,-43.26964638692844,220,285554,0,2018-01-08
166,-22.91410551376948,-43.18576811966778,365,285817,0,2013-08-01
167,-22.96557450660161,-43.17722601487897,365,286677,3,2018-01-03
168,-22.96285775825769,-43.17575309203559,342,286702,29,2018-04-03
169,-22.967371177975192,-43.178056889956544,365,286788,2,2018-04-01
170,-22.96656677789817,-43.19191531619556,0,287142,0,2018-01-02
171,-22.98054244450124,-43.19368567529776,309,287439,2,2018-01-09
172,-22.98316236650058,-43.211911020559256,340,288574,23,2018-04-07
